City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
402,zapolyarnyy,69.4154,30.8136,11.6,54,39,2.68,RU,1723084683
403,barra de santo antonio,-9.4047,-35.5072,19.6,78,12,3.7,BR,1723084685
404,nuku'alofa,-21.1333,-175.2,24.19,64,40,7.2,TO,1723084686
405,wamba,8.9333,8.6,21.22,98,92,0.85,NG,1723084687
406,sylhet,24.5,91.6667,27.92,80,92,3.16,BD,1723084438
407,wewak,-3.5534,143.6268,28.58,76,66,3.7,PG,1723084689
408,long beach,33.767,-118.1892,25.06,84,40,4.12,US,1723084156
409,tvoroyri,61.5556,-6.8111,10.9,92,27,7.13,FO,1723084691
410,zaragoza,41.6561,-0.8773,24.45,62,0,6.17,ES,1723084692
411,nevel',56.0209,29.9284,12.34,96,9,1.76,RU,1723084694
412,alakurtti,66.9672,30.3491,9.8,65,3,0.74,RU,1723084695
413,jinchang,38.4953,102.1739,25.33,49,100,3.19,CN,1723084696
414,luganville,-15.5333,167.1667,24.8,66,100,5.83,VU,1723084697
415,bengkulu,-3.8004,102.2655,28.15,67,49,2.04,ID,1723084698
416,port lincoln,-34.7333,135.8667,14.93,82,94,7.81,AU,1723084699
417,campo largo,-25.4586,-49.5283,18.66,61,92,1.5,BR,1723084700
418,lota,-37.0833,-73.1667,5.7,87,0,1.6,CL,1723084701
419,naze,28.3667,129.4833,29.51,66,52,1.57,JP,1723084702
420,kyenjojo,0.6328,30.6214,17.75,64,64,0.36,UG,1723084704
421,covington,39.0837,-84.5086,24.95,79,0,3.6,US,1723084617
422,abalak,58.1286,68.5944,13.0,59,48,3.18,RU,1723084706
423,kuressaare,58.2481,22.5039,13.3,94,2,2.06,EE,1723084707
424,northam,51.0333,-4.2167,15.92,93,27,4.86,GB,1723084708
425,boende,-0.2167,20.8667,22.65,77,45,1.01,CD,1723084709
426,akkol',48.7833,53.2,24.09,63,99,3.69,KZ,1723084710
427,galliano,29.4422,-90.2992,30.0,76,0,4.27,US,1723084711
428,kurlovo,55.4325,40.4854,15.37,85,100,0.58,RU,1723084712
429,birao,10.2849,22.7882,22.19,95,100,1.92,CF,1723084714
430,eltham north,-37.7,145.15,15.92,60,100,2.68,AU,1723084715
431,acarau,-2.8856,-40.12,25.5,85,16,7.45,BR,1723084716
432,pocoes,-14.5297,-40.3653,15.88,98,70,1.66,BR,1723084717
433,riberalta,-10.9833,-66.1,27.55,53,52,0.47,BO,1723084718
434,kvissleby,62.2936,17.375,17.91,96,100,1.89,SE,1723084719
435,ta`u,-14.2336,-169.5144,25.14,77,81,9.7,AS,1723084720
436,aljezur,37.3191,-8.8033,17.09,86,0,4.99,PT,1723084722
437,salinas,36.6777,-121.6555,24.33,94,75,3.09,US,1723084106
438,howrah,22.5892,88.3103,29.0,89,75,3.6,IN,1723084724
439,polyarnyy,69.1989,33.4478,12.88,63,48,4.15,RU,1723084725
440,queenstown,-31.8976,26.8753,9.28,34,0,2.15,ZA,1723084726
441,ciudad lazaro cardenas,17.9583,-102.2,28.11,80,100,3.49,MX,1723084727
442,barakani,-12.1356,44.4317,23.66,76,50,2.36,KM,1723084728
443,bondoukou,8.0333,-2.8,20.68,96,100,3.03,CI,1723084729
444,krutaya gorka,55.3649,73.2231,15.82,87,100,3.54,RU,1723084732
445,nookat,40.2671,72.6207,23.42,23,0,1.06,KG,1723084733
446,usogorsk,63.4106,48.6872,12.82,59,8,2.23,RU,1723084734
447,rubtsovsk,51.5,81.25,20.72,76,100,2.66,RU,1723084735
448,itamaraca,-7.7478,-34.8256,26.03,64,98,4.15,BR,1723084736
449,hammerfest,70.6634,23.6821,19.25,48,6,2.57,NO,1723084737
450,pointe aux piments,-20.0628,57.5131,19.18,80,1,4.53,MU,1723084738
451,rouyn-noranda,48.2398,-79.0288,17.05,67,75,1.54,CA,1723084488
452,rovaniemi,66.5,25.7167,11.67,76,0,4.12,FI,1723084741
453,boguchany,58.3814,97.4531,17.82,92,99,2.3,RU,1723084742
454,loen,7.7601,168.2307,26.69,75,89,0.54,MH,1723084743
455,ceres,37.5949,-120.9577,34.99,26,0,5.85,US,1723084744
456,akjoujt,19.6969,-14.4164,27.52,53,100,4.12,MR,1723084746
457,san jose del cabo,23.0589,-109.6977,30.6,65,20,3.09,MX,1723084699
458,bom jesus do galho,-19.8289,-42.3161,15.33,74,0,1.94,BR,1723084749
459,wotje,9.4543,170.2367,28.14,71,17,2.64,MH,1723084750
460,prince rupert,54.3161,-130.3201,14.05,100,100,4.63,CA,1723084751
461,veraval,20.9,70.3667,27.76,82,91,7.25,IN,1723084752
462,hindaun,26.7167,77.0167,26.27,90,100,2.8,IN,1723084753
463,florence,43.7667,11.25,23.5,73,0,1.54,IT,1723084754
464,gordonvale,-17.0936,145.7842,26.5,81,64,3.11,AU,1723084755
465,guerrero negro,27.9769,-114.0611,23.01,75,0,6.09,MX,1723084756
466,san patricio,28.017,-97.5169,30.94,62,0,5.48,US,1723084758
467,amplepuis,45.9726,4.3316,20.79,80,83,1.06,FR,1723084759
468,strelka,58.0728,93.0344,19.73,80,100,1.91,RU,1723084760
469,agnibilekrou,7.1344,-3.2047,21.06,89,100,2.08,CI,1723084761
470,cabo san lucas,22.8909,-109.9124,30.61,73,0,8.23,MX,1723084762
471,yelizovo,53.1873,158.3805,27.08,47,75,6.0,RU,1723084763
472,san pedro,14.35,121.0167,30.7,82,75,3.6,PH,1723084764
473,sayaxche,16.5167,-90.1667,22.54,98,100,1.23,GT,1723084765
474,vorgashor,67.5833,63.95,11.03,59,26,1.7,RU,1723084767
475,vredendal,-31.6683,18.5012,10.03,94,31,1.85,ZA,1723084768
476,peace river,56.2501,-117.286,23.17,53,0,1.54,CA,1723084769
477,chernomorskoye,45.5039,32.6997,23.28,65,3,2.35,UA,1723084770
478,prince albert,53.2001,-105.7677,15.97,55,75,3.09,CA,1723084771
479,verkhnevilyuysk,63.4453,120.3167,20.41,42,6,1.6,RU,1723084772
480,krasnokamensk,50.0979,118.0369,24.59,39,67,2.11,RU,1723084773
481,mammoth lakes,37.6485,-118.9721,25.4,19,0,5.14,US,1723084774
482,rio grande,-32.035,-52.0986,13.86,89,82,3.11,BR,1723084382
483,fatezh,52.0891,35.8632,14.99,97,79,2.59,RU,1723084777
484,deniliquin,-35.5333,144.9667,15.51,50,100,5.12,AU,1723084778
485,patnos,39.2336,42.8634,17.98,63,0,1.33,TR,1723084779
486,san juan del sur,11.2529,-85.8705,25.31,85,100,5.69,NI,1723084780
487,chadan,51.2833,91.5833,21.28,39,15,1.86,RU,1723084781
488,esquel,-42.9,-71.3167,1.69,83,32,1.92,AR,1723084671
489,mahina,-17.5065,-149.489,27.64,78,75,5.66,PF,1723084783
490,patong,7.8961,98.2966,29.08,73,100,2.11,TH,1723084784
491,bida,9.0833,6.0167,23.04,94,99,1.96,NG,1723084786
492,ulety,51.3572,112.4849,23.03,56,0,2.4,RU,1723084787
493,novodvinsk,64.4165,40.8122,9.86,68,7,1.5,RU,1723084788
494,sandnessjoen,66.0217,12.6316,17.29,78,95,9.05,NO,1723084789
495,sychevka,55.8252,34.2736,12.47,96,38,2.59,RU,1723084790
496,katabu,-4.9333,122.5167,30.62,54,29,4.23,ID,1723084791
497,angaur state,6.906,134.13,28.31,78,100,4.64,PW,1723084792
498,jiaozuo,35.2397,113.2331,28.05,80,93,2.84,CN,1723084694
499,es castell,39.8795,4.2854,25.38,94,0,3.09,ES,1723084794
500,skeldon,5.8833,-57.1333,24.58,91,28,1.52,GY,1723084796
501,quilmana,-12.95,-76.3833,15.98,85,33,2.85,PE,1723084797
502,buka,40.8108,69.1986,30.13,20,0,4.56,UZ,1723084798
503,amantea,39.1332,16.0746,28.03,73,0,2.8,IT,1723084800
504,two rivers,44.1539,-87.5693,19.07,79,0,0.0,US,1723084801
505,qarqaraly,49.4058,75.4742,22.94,44,95,3.49,KZ,1723084803
506,ghat,24.9647,10.1728,29.8,15,4,1.57,LY,1723084805
507,tocopilla,-22.092,-70.1979,16.35,69,1,4.57,CL,1723084586
508,uttarkashi,30.7333,78.45,19.62,91,99,0.88,IN,1723084807
